Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H),Price_USD,Is_front_wheel_drive,Is_All_Wheel_Drive,Is_Rear_Wheel_Drive,Speed New,Battery_clean
Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,220 Wh/km,790 km/h,All Wheel Drive,4,187746,"£139,910",380,2.9,250,217832.6,False,True,False,490.88,83.7
Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh ,196 Wh/km,920 km/h,All Wheel Drive,5,65990,"£58,295",395,3.5,260,76565.01,False,True,False,571.66,77.4
BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,203 Wh/km,470 km/h,All Wheel Drive,5,77300,"£69,905",350,6.1,200,89687.45,False,True,False,292.04,71.0
BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,208 Wh/km,620 km/h,All Wheel Drive,5,98000,"£91,905",505,4.6,200,113704.66,False,True,False,385.25,105.2
MG MG5 Electric,Battery Electric Vehicle |       57 kWh ,168 Wh/km,440 km/h,Front Wheel Drive,5,35000,,340,8.3,180,40608.81,True,False,False,273.4,57.0
MG Marvel R Performance,Battery Electric Vehicle |       65 kWh ,197 Wh/km,380 km/h,All Wheel Drive,5,50000,,330,4.9,200,58012.58,False,True,False,236.12,65.0
Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,187 Wh/km,720 km/h,Rear Wheel Drive,5,41900,"£36,995",310,8.5,185,48614.54,False,False,True,447.39,58.0
Hyundai IONIQ 5 Standard Range AWD,Battery Electric Vehicle |       58 kWh ,190 Wh/km,710 km/h,All Wheel Drive,5,45700,,305,6.1,185,53023.5,False,True,False,441.17,58.0
Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle |       72.6 kWh ,189 Wh/km,890 km/h,Rear Wheel Drive,5,45100,"£41,945",385,7.4,185,52327.35,False,False,True,553.02,72.6
Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle |       72.6 kWh ,194 Wh/km,870 km/h,All Wheel Drive,5,48900,"£45,145",375,5.2,185,56736.3,False,True,False,540.59,72.6
Kia EV6 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,181 Wh/km,740 km/h,Rear Wheel Drive,5,44990,"£40,985",320,8.5,185,52199.72,False,False,True,459.81,58.0
Kia EV6 Long Range 2WD,Battery Electric Vehicle |       77.4 kWh ,184 Wh/km,980 km/h,Rear Wheel Drive,5,54990,"£48,000",420,7.5,185,63802.24,False,False,True,608.94,77.4
Kia EV6 Long Range AWD,Battery Electric Vehicle |       77.4 kWh ,189 Wh/km,950 km/h,All Wheel Drive,5,56000,"£52,000",410,5.4,185,64974.09,False,True,False,590.3,77.4
Mercedes EQS 450+,Battery Electric Vehicle |       107.8 kWh,168 Wh/km,840 km/h,Rear Wheel Drive,5,106374,"£95,000",640,6.2,210,123420.61,False,False,True,521.95,107.8
Mercedes EQS 580 4MATIC,Battery Electric Vehicle |       107.8 kWh,177 Wh/km,800 km/h,All Wheel Drive,5,135529,"£115,000",610,4.3,210,157247.74,False,True,False,497.1,107.8
Tesla Model 3 Standard Range Plus,Battery Electric Vehicle |       50 kWh ,147 Wh/km,680 km/h,Rear Wheel Drive,5,43560,"£40,990",340,5.6,225,50540.56,False,False,True,422.53,50.0
Polestar 2 Standard Range Single Motor,Battery Electric Vehicle |       61 kWh ,174 Wh/km,450 km/h,Front Wheel Drive,5,46500,"£39,900",350,7.4,160,53951.7,True,False,False,279.62,61.0
